ORIGIN,DEST,DISTANCE
ATL,MEM,332
ATL,MHT,952
ATL,MIA,594
ATL,MKE,669
ATL,MOB,302
ATL,MSN,707
ATL,MTJ,1352
ATL,MYR,317
ATL,OKC,761
ATL,OMA,821
ATL,ORD,606
ATL,PHL,666
ATL,PIT,526
ATL,PTK,625
ATL,PVD,903
ATL,PWM,1027
ATL,RDU,356
ATL,RSW,515
ATL,SAV,214
ATL,SDF,321
ATL,SEA,2182
ATL,SFO,2139
ATL,SGF,563
ATL,SHV,551
ATL,STL,484
ATL,STX,1638
ATL,SYR,794
ATL,TLH,223
ATL,TRI,227
ATL,TUL,674
ATL,TYS,152
ATL,VCV,1882
ATL,VPS,250
ATL,XNA,589
ATW,ATL,765
AUS,LAX,1242
AVL,ATL,164
BDL,ATL,859
BDL,DTW,549
BDL,MSP,1050
BHM,ATL,134
BNA,ATL,214
BNA,DAL,623
BNA,DTW,456
BNA,EWR,748
BNA,LAX,1797
BNA,MSP,695
BNA,PHX,1449
BNA,TPA,612
BOS,BUF,395
BOS,CVG,752
BOS,DTW,632
BOS,EWR,200
BOS,GSO,645
BOS,IAD,413
BOS,JFK,187
BOS,LAX,2611
BOS,LGA,184
BOS,MCO,1121
BOS,PHL,280
BTR,ATL,448
BUF,BNA,633
BUF,DEN,1359
BUF,DTW,241
BUF,HPN,289
BUF,IAD,283
BUF,MSP,735
BWI,ATL,577
BWI,DTW,409
CAE,ATL,192
CAE,SYR,688
CAK,ATL,528
CHA,ATL,106
CHO,ATL,457
CHS,ATL,259
CLE,ATL,554
CLE,DAL,1015
CLE,EWR,404
CLE,IND,261
CLE,MEM,622
CLE,MKE,328
CLE,MSP,622
CLE,PHL,363
CLE,PHX,1737
CLT,ATL,226
CLT,DTW,500
CLT,EWR,529
CLT,IAD,322
CLT,MIA,650
CLT,MSP,930
CLT,OKC,940
CLT,PHL,449
CLT,PTK,531
CLT,SLC,1727
CMH,BWI,337
CMH,EWR,463
CPS,MSP,463
CPS,PHL,804
CVG,ATL,373
CVG,BOS,752
CVG,FLL,932
CVG,LGA,585
CVG,MCO,757
CVG,MEM,403
CVG,MSP,596
CVG,RSW,879
CVG,STL,308
DAL,ATL,721
DAL,BUF,1206
DAL,LAX,1246
DAL,MCO,973
DAL,MEM,423
DAL,MSY,436
DAL,OKC,181
DAL,PHX,879
DAL,SAT,248
DCA,ATL,547
DEN,DAL,651
DEN,MSP,680
DEN,MSY,1062
DEN,OAK,957
DEN,PDX,991
DEN,PHL,1558
DEN,PHX,602
DFW,DTW,986
DSM,ATL,743
DSM,MSP,232
DTW,ALB,489
DTW,ATL,594
DTW,BDL,549
DTW,BNA,456
DTW,BOS,632
DTW,BUF,241
DTW,BWI,409
DTW,CLE,95
DTW,CLT,500
DTW,DFW,986
DTW,FLL,1127
DTW,GRB,287
DTW,GRR,120
DTW,IAD,383
DTW,IND,231
DTW,JFK,509
DTW,LAX,1979
DTW,LGA,502
DTW,MCI,629
DTW,MCO,957
DTW,MEM,610
DTW,MKE,237
DTW,MSN,311
DTW,MSP,528
DTW,MSY,926
DTW,OMA,651
DTW,ORD,235
DTW,PBI,1086
DTW,PHL,453
DTW,PIT,201
DTW,RDU,501
DTW,RSW,1084
DTW,SAN,1956
DTW,SFO,2079
DTW,STL,440
DTW,SYR,374
ECP,ATL,240
EVV,ATL,350
EWR,ATL,746
EWR,BUF,282
EWR,CLE,404
EWR,CLT,529
EWR,CMH,463
EWR,DTW,488
EWR,IAD,212
EWR,IND,645
EWR,MDW,711
EWR,MEM,946
EWR,MIA,1085
EWR,MKE,725
EWR,MSP,1008
EWR,PHL,80
EWR,SAT,1569
EWR,SLC,1969
EWR,SNA,2434
FAY,ATL,331
FLL,ATL,581
FLL,CVG,932
