ORIGIN,DEST,DISTANCE
PTK,DPA,253
PTK,EKX,368
SJU,SJU,0
BWI,TDF,236
GRR,YIP,111
GSH,GSP,497
HKY,GSH,465
JZT,MEM,441
MCI,MKC,14
MKC,HKY,762
PTK,BWI,427
TDF,PTK,500
OLU,PTK,720
PTK,OLU,720
PTK,TCL,690
AZO,PTK,113
CAE,SVH,126
CMH,SVH,310
EVV,PTK,386
GDC,BRO,1084
HKY,PTK,490
LRD,CMH,1279
MI2,CAE,665
PTK,ASN,643
PTK,EVV,386
PTK,GDC,548
SDF,AZO,280
EVV,SKF,871
FLO,MKG,712
ICT,OAK,1355
MI2,FLO,684
MKG,PTK,147
OAK,OMA,1423
OMA,PTK,649
SKF,ICT,573
PGM,SOV,8
BNA,PBX,248
PBX,BNA,248
CEM,IRC,27
JFK,BDL,106
HSH,FLG,203
FSD,DEN,483
AKB,SDP,599
ADQ,CDV,313
MCO,PHL,861
BIL,BZN,126
IAH,BIL,1304
CMX,ORD,359
ORD,CMX,359
ONT,DFW,1188
ORD,COD,1077
SNA,ABQ,650
OKC,PSP,1081
GRB,COS,941
CID,XNA,411
GJT,ASE,89
TOL,SDF,257
ASE,GJT,89
BUF,STL,674
DFW,GRK,134
GRK,DFW,134
LGA,TUL,1231
LGA,TXK,1217
MDT,DAY,396
ORF,DCA,143
SJT,LBB,177
STL,BUF,674
TXK,LIT,134
BNA,BWI,587
BNA,JFK,765
DSM,COU,202
XNA,PHL,1066
CID,LBB,791
CID,OKC,549
COU,MLI,203
COU,OKC,380
DSM,MLI,164
ELP,GRR,1373
GRR,ABI,1058
GRR,GRK,1059
LIT,GRB,707
STL,SYR,804
XNA,ABI,407
TDF,LUK,356
CMH,BDL,550
CVG,MAF,1101
GRR,SPS,931
MAF,GRK,265
MAF,TXK,489
SAT,MSN,1066
TUL,TXK,218
XNA,CLE,758
ABQ,BWI,1670
ASE,AMA,396
BNA,IND,249
BNA,PHL,675
BUF,FWA,359
BWI,ABQ,1670
MAF,ABI,151
LNY,KOA,93
AMA,ELP,358
CMI,ORD,135
GRR,SHV,850
OKC,CMI,602
ORD,AMA,879
ORD,MAF,1048
XNA,BDL,1222
VZM,AKN,52
ABQ,CID,934
BDL,FWA,652
BNA,BMI,324
BNA,CMI,284
BUF,CMI,534
BUF,IND,452
ELP,DSM,972
LGA,CAE,617
OKC,DSM,474
ORD,FWA,157
SYR,FWA,490
XNA,PIA,392
ABQ,COU,837
BDL,GRR,659
DCA,MLU,949
HPN,BDL,80
LGA,LIT,1085
MLU,DCA,949
STL,COU,100
XNA,GGG,270
KEB,PGM,3
COS,DFW,592
COS,PSP,742
PSP,BOI,672
TUS,FAT,595
HDN,COS,177
IAH,CRP,201
GUC,ORD,1031
ORD,GUC,1031
IAH,PIT,1117
IAH,SMF,1609
SMF,IAH,1609
LAX,TUL,1283
SPI,ORD,174
PHX,JAC,705
TUL,MSY,538
LIT,COS,746
DEN,GEG,836
GEG,DEN,836
CVG,SHV,686
DEN,DDC,292
EWN,CLT,221
BDL,PHL,196
DEN,JAC,406
EWR,GSO,445
GSO,EWR,445
JAC,DEN,406
ABQ,COS,280
COS,ABQ,280
DRO,COS,202
SYR,EWR,195
GFK,FAR,73
EWR,BDL,116
ICT,MTJ,573
OKC,MTJ,608
RAP,PUB,404
ASE,CYS,172
ICT,PUB,388
MTJ,CYS,245
SUN,SLC,222
BIL,CYS,372
DCA,BTV,437
CYS,RAP,219
MTJ,ASE,74
ASE,DRO,150
ASE,HDN,89
BDL,EWR,116
MTJ,DRO,93
MCO,FLL,177
FSD,SMF,1334
ORD,MSO,1332
DEN,SBA,916
SBA,LAX,89
SPI,IAH,751
TWF,SFO,536
ORD,GJT,1100
CLE,AUS,1174
DEN,MTJ,196
ELP,GJT,519
MTJ,DEN,196
ORD,BRO,1233
CMH,OMA,689
GRR,COS,1041
ONT,SAT,1166
ONT,LAR,822
IAH,PBI,956
PBI,IAH,956
LAX,ELP,715
CLT,BUF,546
CLT,MOB,526
CLT,TRI,119
DAY,DCA,391
DAY,PHL,477
DCA,CLT,331
DCA,DAY,391
HSV,CLT,333
ILM,MLB,455
MOB,CLT,526
PHL,BHM,772
CAK,GSP,417
CLT,GNV,388
CRW,CLT,221
GNV,CLT,388
ORF,PHL,212
STL,CLT,575
TLH,AVL,363
CLT,EVV,414
CLT,EWN,221
CLT,MLB,490
EVV,CLT,414
MLB,CLT,490
ABE,CLT,481
BTR,CLT,675
TLH,AGS,248
TUL,AVL,751
CHA,CLT,241
CLT,CHA,241
CLT,DSM,815
CLT,OMA,913
GNV,MLB,147
OMA,CLT,913
PHL,CAK,335
PHL,DAY,477
AUS,CLT,1032
CLT,AUS,1032
CLT,VPS,460
LIT,TRI,565
SDF,PHL,576
VPS,CLT,460
XNA,TRI,663
CAE,DCA,408
CAK,AVL,383
CLT,MGM,372
DAB,CHS,263
DSM,DAY,508
DSM,DCA,897
HPN,CLT,564
MGM,CLT,372
MHT,TYS,831
MKE,GSP,634
OKC,CLT,940
ROC,CAE,660
ROC,RDU,503
SYR,TRI,567
AVP,DAY,457
CHS,CHO,372
CLT,BTV,761
MHT,TRI,734
PVD,CLT,683
TUL,GSP,775
ROP,SPN,73
BTV,ABE,288
CAK,PHL,335
CLT,CLT,0
CLT,TLH,386
HPN,GSO,481
JAX,SRQ,220
PHL,DCA,119
TLH,CLT,386
ATL,PUB,1167
BUF,RDU,487
CMH,JFK,483
DEN,MBS,1092
GRR,BTV,629
GRR,MCO,1024
IND,DAY,111
MCO,GRR,1024
MCO,GSO,535
ORD,AUS,978
ORF,JAX,542
ROC,PIT,224
SAV,ORF,435
TUL,PUB,496
BOI,PUB,712
BTV,RDU,663
JAX,GRR,880
MSN,PUB,862
MSO,CYS,609
ORD,SAT,1041
RDU,FLL,680
SAT,ORD,1041
SAV,RDU,293
TUL,STL,351
CVG,PUB,1072
MCO,PIT,834
PIT,MCO,834
RDU,BUF,487
DAY,OKC,796
DEN,GTF,624
JAX,ABE,783
LGA,COU,984
LGA,MHT,195
MHT,ORD,843
MSN,STL,308
PWM,BDL,169
RIC,BDL,393
STL,PUB,766
ABQ,MLI,979
BZN,MSN,1091
CLT,MDT,413
DSM,BFF,514
GRR,BWI,528
GRR,PIT,319
ORD,ACT,881
BWI,GRR,528
CAE,RDU,188
DAY,CID,415
DEN,BHM,1083
DRO,PUB,195
JFK,CMH,483
JFK,GSO,458
JFK,STL,892
MCO,CAE,380
MSO,MLI,1226
MSO,MSN,1234
ORD,PHF,694
PHF,ORF,23
SAV,MCO,255
BGR,BUF,511
BNA,ABE,685
CLT,JFK,541
DSM,MCI,164
LGA,DSM,1031
LGA,OMA,1148
MSN,COS,856
PWM,MSN,957
ABQ,OMA,725
BGR,GRR,843
BTV,BUF,299
BZN,CYS,451
CID,BFF,613
CID,MSN,149
DTW,SPI,369
IAH,LGA,1416
LGA,IAH,1416
MIA,RDU,700
MSO,MKE,1307
PHL,FWA,530
RDU,MSN,753
SAT,COS,732
SRQ,IND,876
SRQ,MKE,1113
BTV,MKE,745
DEN,CPR,230
LGA,CHO,305
MHT,MKE,834
ORD,RIC,642
RIC,ORD,642
STL,CYS,784
STL,SAV,689
AFW,SAT,247
LBB,TUL,379
SHV,SHV,0
AFW,IAH,238
ICT,ICT,0
MAF,MAF,0
TUL,TUL,0
AFW,AFW,0
LBB,LBB,0
BHM,JFK,865
BHM,PIT,598
BNA,MCO,616
CHO,JAX,558
CMH,MKE,330
CMH,RIC,347
GSO,BHM,425
JAX,CHO,558
JAX,CLE,753
MCI,RIC,951
MHT,CMH,628
PIT,BNA,462
PIT,ROC,224
ROC,OMA,941
GRB,SLC,1237
ONT,LGB,36
SLC,GRB,1237
SLC,STL,1156
BDL,SYR,193
BHM,MCI,594
BUF,CHO,332
CHS,EWR,628
CMH,BHM,492
ELM,ATL,717
ELM,BUF,108
SAV,CHO,443
SBN,FNT,158
SYR,CHO,365
ATL,GJT,1391
GJT,ATL,1391
BHM,CLT,350
JAX,BHM,365
ASE,COS,120
AUS,SLC,1086
FCA,SLC,531
LWS,GEG,89
MOB,MSY,130
OAK,SJC,30
PDX,GEG,279
SLC,AUS,1086
SLC,FCA,531
SLC,LWS,461
SLC,MOB,1498
ATL,ELM,717
ATL,EWN,433
ATL,MLU,448
BNA,ALB,825
BUF,BHM,779
DTW,BMI,313
DTW,CHA,505
DTW,ROA,382
EWN,ATL,433
GSO,CMH,313
LGA,BGR,378
MCO,MCI,1072
MLU,ATL,448
PHF,GRK,1289
RIC,SAV,431
ROA,RDU,120
MSO,SLC,436
RDM,SLC,525
SLC,RDM,525
SUN,IDA,112
ABE,GSO,398
BNA,ROC,680
CID,AVL,665
CID,DTW,430
DSM,LGA,1031
GSO,ROC,499
LNK,MCI,152
MCI,CAE,840
MLI,CHA,528
PWM,OMA,1312
GTF,SLC,463
SGU,SLC,272
SLC,GJT,216
SLC,SGU,272
GEG,TWF,385
SLC,MSO,436
ATL,BGR,1134
AVP,ELM,83
AVP,LGA,104
BGR,ATL,1134
BNA,AVP,692
BQK,ILM,293
BTR,SAT,444
CLE,BHM,604
DTW,BQK,762
EYW,CSG,581
GSO,ABE,398
GSO,ILM,171
MSP,BTR,996
MYR,CLE,557
ORF,GRB,815
PWM,PHL,364
PWM,RIC,561
RST,BNA,619
COS,OKC,457
SEA,TWF,514
ABE,BHM,792
CLT,MSN,708
CLT,TVC,702
EYW,ABY,503
FSD,FAR,231
GSO,PHF,204
LGA,GRB,769
MCI,PIT,773
MKE,ABE,662
MKE,JAX,925
MSN,GRR,194
MYR,LGA,563
MYR,SAV,170
ORF,STL,785
PWM,BUF,427
RST,CLE,569
ATL,GTR,241
BHM,MSN,675
BMI,MDW,109
BMI,RIC,656
BMI,TYS,419
ELM,LGA,183
EYW,GSP,713
MKE,SAV,831
RIC,BUF,382
GCC,SLC,410
PHX,SGU,262
SLC,GCC,410
DSM,SLC,955
SLC,DSM,955
SMF,PVU,538
CLE,ORF,435
ELM,MKE,564
LGA,ELM,183
MCI,CHO,881
ATL,VLD,208
CHO,MCN,476
CMH,LEX,164
DTW,SGF,634
MCI,JFK,1113
MDT,CMH,325
RIC,OMA,1026
SAV,CMH,551
VLD,ATL,208
HLN,MSP,913
SLC,HLN,402
BIL,GEG,445
BOI,RDM,250
GTF,BOI,359
PDX,SUN,434
BIL,BOI,409
BOI,PUW,224
FAT,SEA,748
GEG,GTF,288
PDX,FCA,437
SEA,FAT,748
ALW,PSC,42
BOI,SUN,97
EUG,OAK,445
MFR,FAT,421
PDX,BZN,554
SUN,BOI,97
HLN,BOI,295
MSO,BIL,276
SJC,GEG,742
SMF,GEG,649
FCA,GEG,159
PUW,GEG,64
ACT,CKB,1093
ACT,FOE,514
AUS,DSM,813
CKB,ACT,1093
CKB,PIT,82
DSM,AUS,813
FOE,ACT,514
FOE,OKC,268
IAD,SAT,1362
MCI,DSM,164
OKC,FOE,268
PIT,CKB,82
SAT,IAD,1362
BDL,MEM,1049
PIT,AUS,1210
RDU,MSY,779
ACT,MHK,520
BDL,BHM,961
BDL,MSY,1279
MCI,MHK,106
MHK,ACT,520
MHK,MCI,106
AUS,AUS,0
CLE,MSY,917
CLE,SAT,1240
DTW,HOU,1092
MCI,AUS,650
RDU,SHV,892
SDF,ORD,287
SHV,IAH,192
IAH,RSW,861
IND,CHO,436
MSY,AUS,444
PIT,SAT,1276
RDU,SAT,1224
RSW,IAH,861
ATL,CLL,730
CVG,AUS,958
DFW,RIC,1158
IAH,BUF,1281
TUL,IAD,1027
IAD,STL,696
IAH,ROC,1331
PIT,PIT,0
STL,IAD,696
AUS,BNA,756
BDL,AUS,1607
MAF,SAT,277
OKC,CLL,339
RDU,AUS,1162
TPA,MSY,488
MIA,IAH,964
BDL,BNA,852
TUL,SAT,483
AUS,SFO,1504
BZN,JAC,151
DEN,SDF,1024
DFW,COS,592
DFW,SFO,1464
DRO,LAX,639
DRO,OKC,579
GUC,IAH,886
IAH,FLL,965
IAH,GUC,886
IAH,LAX,1379
LAX,DRO,639
MFR,DEN,964
MSP,PSP,1454
ONT,BFL,126
ORD,SFO,1846
SFO,AUS,1504
TUS,ONT,409
BFL,ELP,772
BOS,ORD,867
DEN,FCA,752
DEN,IAH,862
DEN,RDM,898
EUG,DEN,996
FAT,SFO,158
FCA,DEN,752
GJT,ORD,1100
MIA,ORD,1197
ONT,FAT,222
ORD,BOS,867
ORD,MIA,1197
ORD,PAH,342
ORD,SDF,287
PAH,ORD,342
PDX,GJT,846
RDM,DEN,898
BHM,AUS,682
BIL,DEN,455
BUR,DEN,850
COS,ASE,120
DEN,FAT,844
DEN,MMH,780
DEN,MOT,604
EUG,JAC,624
GJT,SFO,758
IAD,IAH,1190
IAH,IDA,1311
IAH,MAF,429
IDA,SFO,677
JAC,ASE,363
JAC,ORD,1162
LAX,ABQ,677
LAX,IAH,1379
MAF,IAH,429
MMH,DEN,780
MOT,DEN,604
ORD,JAC,1162
ORD,STC,394
PIH,COS,501
SAT,SFO,1482
SFO,COS,964
SFO,GJT,758
STC,ORD,394
AUS,ORD,978
AUS,PUB,681
AUS,TUS,797
BNA,AUS,756
BOI,SFO,522
CLE,IAH,1091
DEN,IDA,458
FAT,IAH,1480
FCA,ORD,1352
FSD,MLI,351
GJT,IAH,979
IAH,GJT,979
IDA,DEN,458
IND,COS,987
MFE,OMA,1051
MLI,DSM,164
ROW,ORD,1087
SAT,BFL,1266
ABQ,AUS,619
AVL,ORD,536
BOI,SAT,1377
BZN,DEN,524
CVG,COS,1077
DEN,BZN,524
DEN,SGU,517
DEN,SNA,846
EUG,BOI,351
ICT,OKC,156
LAX,LBB,954
LAX,MAF,951
LAX,MRY,266
MIA,MSY,675
MLU,IAH,262
OMA,MLU,643
ORF,IAH,1201
PSC,SFO,620
SFO,MRY,77
SFO,PSC,620
SFO,SAT,1482
SGU,DEN,517
SLC,CRP,1218
TUS,SAT,762
BNA,OKC,616
BOI,MLI,1316
CHS,COS,1438
COS,AUS,716
COS,COD,453
COS,ORD,911
DAY,COS,1097
DFW,SBN,846
DSM,PUB,617
ELP,ABQ,223
IAH,PUB,776
JAC,COS,457
MEM,CPR,1038
MSO,ORD,1332
MSY,COS,1022
ORD,MBS,222
SAN,DEN,853
SAT,EUG,1690
SGF,CVG,491
STL,ASE,888
AUS,COS,716
BFL,DEN,845
BOI,ORD,1437
CLL,IAH,74
CMH,COS,1167
DEN,SAN,853
DLH,ORD,397
HYS,DEN,298
HYS,ICT,130
HYS,TUL,260
IAH,MTJ,927
IAH,ORF,1201
JAC,HDN,282
JAC,SBA,800
LAX,TUS,451
MBS,ORD,222
MFR,SUN,442
MTJ,IAH,927
ONT,CLL,1263
ORD,DLH,397
OTH,MTJ,918
PBI,RSW,103
SAT,JAC,1183
SAV,SBN,718
SBN,IAH,953
SFO,IAH,1635
BFL,SAT,1266
BOS,MSN,932
CHS,OKC,1020
COS,GUC,122
COS,PIA,809
DEN,MKE,896
DFW,PSP,1126
EAU,ORD,268
FAT,SAT,1325
LIT,RAP,864
MKE,DEN,896
ORD,EAU,268
RAP,SAT,1032
RDD,SFO,199
SBN,COS,990
SFO,RDD,199
CAK,CID,537
CLT,DEN,1337
COS,CLL,738
DCA,AUS,1315
DEN,CLE,1201
ELP,ONT,670
IAH,DCA,1208
IAH,RDU,1042
IAH,SFO,1635
ISN,ORD,878
MSN,BOS,932
PSP,SLC,541
RDU,IAH,1042
SAN,MFR,734
ACV,SFO,250
DEN,XNA,616
DFW,TUS,813
DRO,DEN,250
ORD,SPI,174
PSP,DEN,776
SBA,LAS,289
SFO,ACV,250
SFO,YUM,557
SGF,DEN,637
RKD,BED,156
DEN,AIA,180
DEN,BFF,150
BTI,FYU,250
DIO,WAA,26
SOV,KEB,10
SBP,LAX,156
MIA,MIA,0
IAD,BTR,969
IAD,LIT,867
IAD,BHM,637
IAD,TUL,1027
PVD,ABE,222
CAE,PTK,615
SDF,GYY,254
SDF,TDF,394
ANB,JAN,260
JAN,KY1,472
KY1,PTK,358
KY1,YIP,328
MVN,ANB,367
PTK,KY1,358
PTK,MVN,414
PWM,MDT,409
AUS,CHO,1226
PWM,BWI,452
SAT,RIC,1335
BTV,BWI,408
MCI,CMH,632
SAT,PIT,1276
BWG,YIP,395
DRT,PTK,1337
DTW,MIE,173
ELP,DRT,365
ELP,SDM,623
GSP,GSH,497
GYY,MI2,103
HWD,ELP,981
MCI,HWD,1485
MEM,BRO,770
MIE,PTK,196
MKC,PTK,633
PTK,DTW,31
PTK,GSH,145
PTK,LRD,1378
PTK,MCI,634
PTK,SHV,906
ALB,MDT,234
AUS,IAD,1297
BHM,HGR,656
BRO,CMH,1283
FWA,PTK,148
GSP,BRO,1097
HGR,PTK,360
MCI,BRO,936
MKE,TEB,727
MKL,FWA,422
PTK,BHM,653
PTK,MKE,228
PTK,MKL,570
CXF,BRW,322
SIT,SEA,861
JNU,SEA,909
SEA,JNU,909
MCO,OMA,1211
OMA,MCO,1211
MSY,LSE,959
SAT,LSE,1066
FAR,BIS,187
GRR,MDW,137
LAX,MCI,1363
MCI,LAX,1363
GEG,LAX,945
LAX,GEG,945
MDW,FSD,474
MDW,MSN,124
SEA,CKB,2164
CKB,FAT,2144
COS,GEG,887
FAT,GEG,757
PDX,RNO,444
SEA,GJT,900
BIL,FAT,851
BIL,SEA,664
LAS,SGU,113
OMA,BIL,706
PDX,BIL,679
BOI,PSP,672
MFR,SBA,572
PSP,SAN,85
PDX,OMA,1369
JAX,STL,753
JFK,JAX,828
MSN,RDU,753
ORD,BOI,1437
BDL,PIT,406
CHS,BWI,472
CLT,EYW,736
DCA,FLL,899
EYW,CLT,736
FLL,DCA,899
MDT,CLT,413
MHT,BNA,938
PHL,JAX,742
PWM,MSY,1446
SAV,DCA,519
SYR,PHL,228
TYS,HSV,177
CID,DEN,692
CMH,MCO,802
CMH,RSW,930
DEN,CID,692
DFW,JFK,1391
EWR,ROC,246
MCO,CMH,802
MIA,ORF,802
MSN,IAD,684
OMA,EWR,1134
OMA,PUB,503
ORD,TPA,1012
RSW,IND,945
TPA,EWR,997
TPA,ORD,1012
BGR,PIT,652
DCA,BOS,399
DFW,PHL,1303
PHL,DFW,1303
STL,PHL,814
TPA,PHL,920
ALB,RIC,407
CHS,PHL,550
MEM,ORF,782
PHL,CHS,550
RSW,PIT,966
SRQ,PIT,912
GRR,LGA,618
IAH,JFK,1417
LGA,TLH,926
MEM,DCA,762
ORD,MCO,1005
ROC,EWR,246
RSW,CMH,930
SDF,AUS,876
TLH,IAH,658
DSM,EWR,1017
EWR,DSM,1017
EWR,OMA,1134
EWR,STL,872
IAH,BWI,1235
LGA,MEM,963
SBN,EWR,637
DCA,ALB,318
EWR,DAL,1365
JAX,CMH,659
LGA,OKC,1341
LGA,SHV,1245
ORF,AUS,1319
BOS,MHT,45
DCA,MGM,693
MCI,PHL,1038
MGM,MSY,279
MSY,ALB,1267
PHL,MSY,1089
PHL,SYR,228
SRQ,IAD,849
AUS,MAF,294
CLT,IAH,912
CMH,ALB,509
DFW,IAD,1172
DFW,MDT,1231
EWR,MCI,1092
GRR,IND,222
IND,MIA,1020
IND,RSW,945
LGA,SPS,1428
MEM,AUS,559
ALB,CLT,646
CLT,ALB,646
MCO,DCA,759
EWR,MYR,550
LGA,AUS,1520
MAF,ABQ,332
MIA,AUS,1103
MYR,EWR,550
OKC,MKE,736
BDL,BWI,283
MSY,RDU,779
BNA,PUB,993
EWR,BTV,266
LGA,HPN,22
MSY,EWR,1167
MSY,MDT,1037
OMA,CMH,689
PVD,GRR,726
ABE,PHL,55
ALB,CHS,760
MHT,ABE,260
PVD,PIT,467
BZN,DFW,1163
DFW,MDW,797
EWR,SRQ,1034
MDW,ORD,16
MLI,SBN,218
AUS,EWR,1504
DFW,EWR,1372
DSM,IAD,874
EWR,BNA,748
EWR,DFW,1372
PHL,FLL,992
PHL,ILM,413
SAV,CLT,213
BTV,EWR,266
DEN,SLN,383
EWR,SBN,637
GRR,EWR,605
ORD,BTV,763
ORD,RSW,1120
RSW,ORD,1120
SLN,MCI,162
BGR,DCA,590
DCA,BGR,590
DCA,CHS,444
ABE,DCA,151
BTV,PHL,335
DCA,MEM,762
EWR,AUS,1504
MHT,ORF,487
ORF,DCA,142
PWM,ABE,335
IND,HOU,861
ORD,AUS,977
ACY,LBE,263
SCC,VIK,52
SPN,ROP,73
AUS,TUL,426
GJT,HDN,117
MSP,GJT,881
DTW,LRD,1359
SFO,YKM,625
BNA,DFW,631
LAX,BRO,1372
LAX,SPS,1142
STL,IDA,1175
DFW,PHX,868
FCA,LAX,1014
LAX,FCA,1014
MSP,ABI,928
LAX,ABI,1089
SAT,ONT,1166
COS,MCI,538
LAX,COS,833
ABE,SCE,127
CLE,ROW,1362
HSV,IAD,596
IAD,CRW,227
IAD,HSV,596
IAH,RAP,1058
JAX,IAD,630
ORF,GSP,365
RAP,IAH,1058
MDW,TVC,232
TVC,MDW,232
IAH,SHV,192
MCI,BNA,491
MSP,TUS,1298
ABQ,IGM,415
CAK,LNK,801
DIK,ISN,103
CAE,ACT,950
DFW,CLL,164
GPT,CRP,541
GRB,MLI,242
JAX,TYS,390
TYS,CHS,302
VPS,CRP,689
BNA,HSV,103
IAH,GTF,1479
VPS,MSY,226
UKI,SMF,92
BHM,DEN,1083
BTV,DCA,437
BTV,EVV,868
CVG,CLL,883
GRK,CLL,93
MEM,FNT,641
BTV,CVG,702
DCA,BWI,30
PWM,RDU,700
SAF,DEN,303
TYS,DEN,1162
BZN,BTM,66
BTR,SPI,647
CLE,SYR,317
STL,JAX,753
ROW,SLC,660
DFW,DSM,624
DFW,GGG,140
DFW,LCH,295
DSM,DFW,624
LCH,DFW,295
LGA,XNA,1147
LSE,ORD,215
ORD,LSE,215
XNA,LGA,1147
DFW,TYS,772
GCK,DFW,404
DFW,CMI,693
DFW,MOB,539
DFW,SGF,364
DFW,MSN,821
MSN,DFW,821
RNO,PSP,431
SAT,LAS,1069
SAT,SBA,1297
LBB,OKC,269
DEN,PSP,776
ABQ,AMA,278
AVL,GSP,42
BHM,GVT,540
DFW,AVL,848
DFW,BNA,631
GSP,MAF,1171
HOU,TYR,187
HSV,LIT,310
ABQ,LAX,677
CRP,AUS,167
MKE,AMA,912
OKC,ABQ,510
SDF,AMA,909
COS,SHV,752
HOU,LIT,393
HSV,AUS,706
IAH,HOU,24
OMA,TUL,352
PNS,SAT,679
SHV,HOU,211
SJC,AUS,1476
TUL,DSM,387
XNA,MAF,542
IAH,ONT,1334
MCI,TUS,1036
PNS,BHM,214
SAV,SHV,739
XNA,ICT,197
XNA,PHX,1023
AMA,MAF,228
ELP,AUS,528
MEM,BHM,211
PNS,AUS,626
CID,MAF,897
CRP,SAT,135
GRR,HOU,1061
GSP,TUL,775
JAX,DFW,918
MSN,AMA,858
PNS,MAF,894
SDF,XNA,490
SAT,BHM,744
DSM,ABQ,833
MYR,AVL,239
CLT,XNA,754
MCI,PHX,1044
ORF,CLT,290
PHX,MCI,1044
PHX,ICT,870
LGB,ONT,36
SAT,ELP,496
MDW,PIE,998
BED,BZN,1975
BNA,FRG,786
BUF,FLL,1165
BZN,BED,1975
CKB,FOE,829
CLE,LAX,2052
DAL,EWR,1365
DAL,SLC,999
FOE,CKB,829
HOU,MSY,302
HOU,PDX,1843
HPN,BNA,779
HPN,MIA,1118
IAD,FLL,901
IAD,PTK,404
LGB,PIT,2126
MCO,CLE,895
MCO,HPN,972
MCO,IAD,758
MDW,PHX,1444
MIA,MKE,1258
MKE,OKC,736
MKE,PHL,690
MKE,SMF,1778
MSP,DAL,853
MSP,OAK,1578
MSY,IND,707
MSY,MCO,551
OAK,ATL,2130
OKC,CKB,992
OKC,PHX,833
PDX,DAL,1626
PHL,MCO,861
PTK,DEN,1120
PTK,MSP,513
SDF,RDU,415
SMF,MDW,1790
SMF,MEM,1761
TPA,MEM,655
PDX,RBG,167
ABQ,SDM,620
ADS,DEN,645
ADS,DTW,975
ADS,TUS,825
ADS,YIP,968
ANB,CVG,382
ATL,YIP,595
CPR,LRD,1130
CVG,LRD,1164
DAL,BFI,1672
DAL,PBI,1091
DAL,YIP,975
DEN,BFI,1026
HGR,CHS,487
JZT,ATL,737
LRD,ADS,405
LRD,ANB,910
LRD,HGR,1501
PBI,DAL,1091
RFD,SDF,329
SDF,RFD,329
SDM,DAL,1171
SDM,YIP,1942
TUS,ADS,825
YIP,ABQ,1338
YIP,ATL,595
YIP,DAL,975
ADS,GSP,849
ADS,GYY,790
ADS,LRD,405
BTL,CHS,709
BTL,SLN,696
CHS,ADS,975
CNO,SLN,1160
DTW,BTL,97
ELP,DTW,1455
GLH,MCI,451
LRD,CNO,1166
LRD,SDM,1104
MCI,ADS,452
SCE,YIP,310
SDM,MCI,1328
SLN,BTL,696
SLN,SDM,1166
SYR,SCE,180
YIP,BTV,545
YIP,GLH,728
ADS,ADS,0
ADS,COS,597
BFI,FTW,1653
COS,BFI,1070
DEN,PAE,1036
GSP,ADS,849
PAE,FTW,1664
ADS,CHS,975
ASN,ADS,625
BFI,SMX,877
BFI,YIP,1917
CNO,BFI,966
GSP,ASN,238
SLN,CNO,1160
SMX,ADS,1360
YIP,SLN,780
ADS,LGB,1231
BWG,LRD,1000
CHS,BWG,458
CHS,ELP,1538
DRT,TOL,1277
LGB,PAE,996
PAE,DRT,1711
TOL,IAH,1027
ADS,SMX,1360
ASN,YIP,614
BRO,ELP,677
CHS,HSV,406
HSV,TOL,506
JAN,MMI,382
LEX,STL,317
STL,YIP,433
YIP,ADS,968
YIP,JAN,773
ADS,TOL,930
DAY,SKF,1091
DRT,ADS,346
ELP,MDT,1747
GYY,DAY,205
SDM,DRT,977
SKF,ELP,493
TCL,GSO,480
TOL,ELP,1417
ADS,SKF,268
BRO,GYY,1224
IND,JAN,553
JAN,QQY,491
MHT,ADS,1540
SDM,BRO,1265
SDM,QQY,1145
SKF,SDM,1112
TUP,CNO,1649
AZO,LIT,631
CLU,SKF,993
DAY,AZO,175
DAY,DRT,1194
DAY,ELP,1358
EVV,BRO,1017
LRD,MFD,1329
LUK,GDC,320
MCI,FRG,1132
MEM,SKF,637
MFD,EVV,330
PSM,MCI,1268
PSM,MEM,1166
EWN,ILM,74
MEM,EWN,733
IND,DFW,761
JNU,ENA,605
CID,SDF,407
BUF,ALB,251
MEM,RIC,726
MSP,MCN,985
SAT,GRK,112
TUL,CHA,606
GFK,MSP,284
MSP,GFK,284
SJC,PSC,631
SLC,RAP,508
GRK,AEX,313
PIA,BMI,43
LAX,LGB,17
SJC,OGD,593
BUF,AVP,190
FSD,LNK,189
SLC,MAF,817
AEX,HOU,200
SJC,OAK,29
GTF,FSD,758
SLC,XNA,1004
XNA,SLC,1004
LNK,BNA,636
BFL,SNA,139
HLN,SLC,402
SLC,ATW,1217
SLC,BFL,534
GRB,STL,412
IAH,MGM,553
LFT,HOU,201
LGA,GRR,618
LGA,ILM,500
MLI,TYS,524
MKE,MDW,80
MKE,MSN,74
OMA,IDA,840
SFO,SGU,490
SEA,DEN,1024
ICT,SAT,563
LGA,MSN,812
PHX,BOI,735
MKC,MDW,404
HOM,KEB,26
ADS,BFI,1667
ADS,CLT,923
ADS,FLO,990
CLT,ADS,923
CVG,TCL,434
ELP,VNY,722
ILN,CVG,54
SDM,DTW,1951
TCL,ADS,535
VNY,SDM,143
BFI,ELP,1372
BUF,ILN,358
FSM,ADS,216
SDM,ADS,1171
YIP,FSM,753
ALB,GSP,706
BWG,TCL,267
CLT,BWG,329
DEN,DPA,870
DPA,LRD,1176
HKS,CHA,344
LYH,HKS,714
TCL,ATL,186
YIP,ILN,194
YIP,LYH,410
ONT,TSP,88
SLC,XWF,185
SLC,SUN,222
MEO,ORF,73
