IATA,ID
CAK,10874
LEW,12944
BEH,10543
PWA,14318
VRB,15628
FVO,11811
IPT,12365
SD2,16453
WDG,15734
TTN,15356
BKL,10647
CGF,10965
EWN,11617
BMG,10683
MCW,13211
BKW,10654
TRI,15323
FPR,11732
ILG,12320
AVL,10431
MLI,13367
RIL,14530
ERI,11577
NY4,16425
MRK,13469
NY2,13782
SIG,14819
UT1,15498
MO2,13420
MVW,13540
RBB,14464
AMA,10279
LRD,13061
SKY,14865
YNG,16133
FDY,11659
GDC,11871
COU,11111
BTL,10778
HKY,12149
MOR,13431
IA1,12260
JZT,12598
LWF,13123
RWI,14656
IRS,12378
MRN,13470
JEF,12474
HLM,12155
SPI,14952
AND,10300
ENW,11564
ADS,10171
RFD,14512
TDZ,15165
HVC,12243
IPL,12363
OLS,13868
TN7,15276
PSK,14258
GNV,11953
APN,10333
DNV,11363
MQY,13461
MNM,13409
BIS,10627
TDF,15163
MEI,13241
BWG,10819
RDG,14488
ROA,14574
AOH,10317
BMI,10685
CLU,11058
A97,10110
LWV,13129
GGG,11905
EKY,11527
SVH,15054
LOZ,13046
DRT,11415
EVV,11612
MQJ,13453
MDO,13226
PIE,14112
CKV,11035
DOV,11375
GMU,11947
GPT,11973
JQF,12544
LYH,13139
PGV,14092
SCE,14711
SFB,14761
STJ,15014
UTM,15502
VA4,15548
XNA,15919
CKM,11031
ISO,12390
LAL,12882
SGF,14783
LGU,12965
XXU,15978
HES,12103
WMC,15791
AMK,10285
ID1,16445
SNK,14915
PTV,14283
LPC,13049
AUG,10414
MHT,13296
TYR,15411
MLU,13377
SHD,14802
CPX,11126
LFT,12951
JST,12559
MGW,13282
MSL,13484
TVF,15381
SUX,15048
ATY,10409
FLO,11699
GTR,12007
TUP,15374
GFK,11898
PIB,14109
GLH,11931
FOD,11725
DVL,11447
ALO,10268
MKG,13344
MOD,13424
BFL,10561
YUM,16218
OGD,13829
WYS,15897
ENV,11563
RME,14553
DBQ,11274
SWF,15070
PHF,14098
OAJ,13795
PGD,14082
VQS,15626
JRV,12553
LCH,12915
BRL,10744
TXK,15401
MCN,13203
BTR,10781
LAW,12891
VPS,15624
ACT,10155
FAY,11641
SPS,14960
GRK,11982
FYV,11834
CLL,11049
IFP,10590
BWS,10825
ABY,10146
CLG,11044
QQN,14424
ROP,14582
GUM,12016
MER,13249
SWO,15074
PNE,14182
RLU,14551
DCU,11282
SSB,14992
AHN,10216
CGI,10967
LAF,12878
SPB,14945
VYS,15675
INT,12348
LJN,12999
ADW,10172
ANB,10298
PUW,14303
HGR,12119
CKB,11027
BAF,10478
LRU,13072
NZY,13791
MTO,13506
CPS,11123
HUF,12228
EFD,11495
MCF,13195
MWA,13543
DLH,11337
NGU,13667
MLB,13360
ECP,11481
MKL,13348
MYK,13574
ORH,13933
AL4,16423
PAH,14006
ARA,10347
VLD,15607
BTM,10779
BFM,10562
TX3,15395
CEV,10946
LGC,12955
MI2,13301
DQP,11396
ASN,10380
ALN,10267
MDF,13219
VCV,15570
CIG,11004
FNL,11719
GUC,12012
MRC,13464
RMG,14554
CWF,15825
CEW,10947
MXE,13554
BKG,10643
SPN,14955
HUM,12233
II2,12306
BYH,10838
OSC,13947
NZC,13788
MIE,13307
LUF,13102
HKS,12147
GUF,16422
JZL,12590
OQN,13912
HNM,12174
CEF,10933
EDF,11487
A51,10064
GEK,11885
QQB,14412
WA6,15707
WA7,15708
OFF,13824
NPA,13728
BLV,10676
BQN,10732
FHU,11673
SVN,15057
DAG,11257
HIF,12131
EDW,11490
NKX,13700
HMN,12163
LFI,12947
FFO,11668
VOK,15620
LSV,13087
PAM,14009
SKF,14853
MTC,13498
DQK,11391
SUU,15045
IRK,12375
MUO,13525
POB,14197
BIX,10629
RIV,14533
INS,12347
WRI,15842
BIF,10615
NKT,13697
LSF,13077
NHK,13671
VAD,15550
TIK,15211
FWH,11824
SC1,14706
RQZ,14618
SSC,14993
MDH,13221
UIN,15454
NCN,13629
STC,15008
BQK,10731
NIP,13682
OCF,13809
CSM,11152
HIK,12134
HOP,12187
MHV,13297
NQX,13736
DMA,11344
MIB,13304
CVS,11200
GSB,11992
HST,12216
WRB,15839
GUS,12021
SGH,14785
DEC,11288
MDY,13234
NGF,13662
PPG,14222
UXP,15530
UUK,15508
CNM,11085
HOB,12177
MHR,13295
WST,15855
NQA,13732
ALM,10266
IYK,12436
MEO,13246
NJK,13689
BAD,10476
NTD,13756
UAM,15422
JZE,12583
MRB,13463
DPG,11377
AOO,10322
IAB,12263
OGS,13832
MSS,13490
LUP,13109
CVN,11197
JMS,12519
OXR,13988
OWB,13983
MAZ,13176
CHI,10986
SZL,15108
TIQ,15215
VBG,15561
TIX,15221
NUQ,13771
HAE,12061
MSV,13493
A06,10019
DNN,11359
C01,10857
UDD,15434
FIC,11674
BDR,10535
JZI,12587
BKE,10641
JDA,12462
CHZ,10999
PRZ,14249
CHD,10982
OR2,13926
LCI,12916
RSL,14629
SNS,14922
XXP,15973
XWF,15939
ZXC,16336
SLJ,14874
TSP,15344
ZXT,16352
STE,15010
BOK,10715
LVM,13118
EGV,11510
APG,10330
LWM,13125
FCM,11650
CNO,11086
SGR,14792
QQY,14435
XXT,15977
DSI,11421
MPE,16501
XWH,15941
UVA,15511
XXY,15982
MVL,13535
CGS,10975
HAR,12070
OSH,13949
MCD,13193
MS2,16414
WA4,15705
MGE,13273
BRG,10741
NIN,13681
N1C,13697
FMH,11709
FAQ,16647
SBD,14691
NC1,13619
FBS,11646
PUL,14295
DJN,11327
05A,10005
AK7,16584
BYA,10834
UGS,15448
ASH,10374
WSB,15846
A04,10017
WSJ,15850
VZE,15680
LNI,13028
A2K,10770
A50,10063
CBA,10886
CUW,11188
DTR,11431
DHB,16603
WA1,16651
T2X,16694
WQU,15833
7AK,16567
UXI,15523
DQU,11401
AVW,10436
LVK,13117
AID,10223
GVL,12028
HWD,12247
TPL,15310
NEW,13655
OLV,13870
AL3,10255
PCT,14044
PA7,16672
MA2,16479
ME3,16540
WUQ,15870
AK6,16581
RQV,14614
AIK,10224
VUO,15640
PBX,14034
TTD,15351
RBW,16542
CWI,11207
VWD,15649
GA6,16673
QMA,14397
AWM,10440
MJX,13338
NHZ,13674
OJC,13848
DLS,11342
SEE,14749
KNB,12745
AZ1,10463
OSU,13958
DNL,11358
FRY,11773
BTP,10780
CDW,10927
ISS,12394
ME1,13236
DXR,11456
PA9,16689
SOP,14938
PA6,16643
1NY,16571
CEU,10945
ONH,13884
SEG,14751
VT1,16588
EDE,11486
ME4,16553
NAD,13599
GTY,16682
LKP,13008
PTW,14284
SFM,14769
ARB,10348
B19,10471
HIE,12130
ME2,16503
MNN,13410
NY7,16498
MA1,13152
MQI,16634
NJ1,13685
OLE,13861
QMN,14400
JZB,12580
JZU,12599
F70,11627
HUT,12236
AL7,16669
BBD,16665
RQN,14606
UXK,15525
CTZ,16538
JRF,12549
KLS,12725
A35,11828
JLA,12509
SFZ,14778
GSH,11994
IKV,12317
A20,10033
KY3,12861
LPR,15534
AUO,10419
TN1,15270
TN4,15273
MFD,13255
MMI,13389
AK2,16490
MVN,13537
VPZ,15625
CBE,10888
MD1,16463
QSO,14441
BFT,10569
DE2,16520
DE3,16666
O85,13792
MT2,16692
FTG,11784
PA2,14001
WWD,15882
A63,10076
RSN,14630
TOP,15297
OFU,13826
AK5,16580
JWY,16555
IN1,12336
EKX,11526
KY1,12859
LA2,16558
BMC,10680
DTO,11430
II3,12307
GVT,12031
LAM,12883
UOX,15481
MMT,13397
DQY,11405
NBG,13612
A1K,16668
T1X,16658
GRF,11979
XSD,15930
NTU,13763
RCA,14475
RBN,14470
TNT,15286
WA3,16654
MRF,16679
MI6,16683
MA5,16543
WA9,16515
DKK,11331
SUA,15030
MA4,16526
CO3,11093
N1Y,16680
MXF,13555
